EVCS_1,EVCS_2,EVCS_3,EVCS_4,EVCS_5,EVCS_6,EVCS_7,EVCS_8,EVCS_9
0.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+02,3.220000000000000000e+02,1.700000000000000000e+02,4.100000000000000000e+02,6.000000000000000000e+02,3.780000000000000000e+02,5.140000000000000000e+02
1.000000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+02,2.220000000000000000e+02,7.000000000000000000e+01,3.100000000000000000e+02,5.000000000000000000e+02,2.780000000000000000e+02,4.140000000000000000e+02
2.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,1.220000000000000000e+02,3.000000000000000000e+01,2.100000000000000000e+02,4.000000000000000000e+02,1.780000000000000000e+02,3.140000000000000000e+02
3.220000000000000000e+02,2.220000000000000000e+02,1.220000000000000000e+02,0.000000000000000000e+00,1.520000000000000000e+02,8.800000000000000000e+01,2.780000000000000000e+02,5.600000000000000000e+01,1.920000000000000000e+02
1.700000000000000000e+02,7.000000000000000000e+01,3.000000000000000000e+01,1.520000000000000000e+02,0.000000000000000000e+00,2.400000000000000000e+02,4.300000000000000000e+02,2.080000000000000000e+02,3.440000000000000000e+02
4.100000000000000000e+02,3.100000000000000000e+02,2.100000000000000000e+02,8.800000000000000000e+01,2.400000000000000000e+02,0.000000000000000000e+00,1.900000000000000000e+02,3.200000000000000000e+01,1.040000000000000000e+02
6.000000000000000000e+02,5.000000000000000000e+02,4.000000000000000000e+02,2.780000000000000000e+02,4.300000000000000000e+02,1.900000000000000000e+02,0.000000000000000000e+00,2.220000000000000000e+02,8.600000000000000000e+01
3.780000000000000000e+02,2.780000000000000000e+02,1.780000000000000000e+02,5.600000000000000000e+01,2.080000000000000000e+02,3.200000000000000000e+01,2.220000000000000000e+02,0.000000000000000000e+00,1.360000000000000000e+02
5.140000000000000000e+02,4.140000000000000000e+02,3.140000000000000000e+02,1.920000000000000000e+02,3.440000000000000000e+02,1.040000000000000000e+02,8.600000000000000000e+01,1.360000000000000000e+02,0.000000000000000000e+00
